,2m Air Temperature,Relative Humidity,GHI,DNI,DHI,IR(h),10m Wind speed,10m wind direction,Air pressure,Month,Day,Declination,Hour angle,Rb_front,Rb_rear,DOY,Solar Zenith angle,G_Front,Total_G
2030-05-01 13:45:00,16.657486491215465,47.53298940620837,682.7460043354637,309.8545686973086,412.311936110157,317.66468444765053,3.813779156578652,302.88928655053815,100270.1130704898,5.0,1.0,14.90088745587464,26.24999561048105,1.0,0.0,121,33.20289565826562,,
2030-05-01 14:00:00,16.67,47.45,698.0,372.82,381.0,313.6,4.0,302.0,100263.0,5.0,1.0,14.90088745587464,30.0,1.0,0.0,121,35.56101523679654,,
2030-05-01 14:15:00,16.692629917747144,47.54331963917447,710.7164068011641,447.172124807277,341.8915272212174,307.6396959587072,4.170695706479239,301.7742792974851,100258.31126735455,5.0,1.0,14.90088745587464,33.750009193143484,1.0,0.0,121,38.050971710783585,,
2030-05-01 14:30:00,16.725376244456893,47.81294832373179,720.8952247389561,532.9109431191393,294.9865177738094,299.7837723237722,4.325866276016368,302.2121244429934,100256.04687255346,5.0,1.0,14.90088745587464,37.500023189911445,1.0,0.0,121,40.64619731208355,,
2030-05-01 14:45:00,16.745434448938195,48.20110284642321,724.1264303072703,614.3167898714321,248.58824943949665,292.33596252695116,4.473103707545313,303.043907367005,100254.75904147563,5.0,1.0,14.90088745587464,41.25002559172373,1.0,0.0,121,43.325238515683814,,
2030-05-01 15:00:00,16.73,48.65,716.0,675.67,211.0,287.6,4.62,304.0,100253.0,5.0,1.0,14.90088745587464,45.0,1.0,0.0,121,46.07075151147812,,
2030-05-01 15:15:00,16.67907289764231,49.15963978446215,696.5159338171457,716.9705735048431,182.22176945531945,285.57588474291913,4.76655515338043,305.08040234197836,100250.76974812658,5.0,1.0,14.90088745587464,48.74994641474029,0.9923032517053729,0.0,121,48.868636451470394,,
2030-05-01 15:30:00,16.592653141865124,49.73002219980966,665.6742317587073,738.2185103859613,162.25355780545502,286.26361675570814,4.9127691676866,306.28511439294016,100248.06828585538,5.0,1.0,14.90088745587464,52.499864835944635,0.9746155084198941,0.0,121,51.70730651472946,,
2030-05-01 15:45:00,16.482406815155375,50.33539351525235,627.7454138209151,746.144692074099,147.6585672528631,287.9195403906432,5.050098598149471,307.5972692474319,100245.58268065649,5.0,1.0,14.90088745587464,56.249850839176645,0.953507054156169,0.0,121,54.57718834983097,,
2030-05-01 16:00:00,16.36,50.95,587.0,747.48,135.0,288.8,5.17,309.0,100244.0,5.0,1.0,14.90088745587464,60.0,0.9280929930378625,0.0,121,57.470200355023046,,
2030-05-01 16:15:00,16.225432696398993,51.573841654052636,543.437990295962,742.2244341636649,124.27785604686585,288.9049955837787,5.272473373238189,310.4933066506446,100243.32024388593,5.0,1.0,14.90088745587464,63.75031231841476,0.8971406397343072,0.0,121,60.379324252910415,,
2030-05-01 16:30:00,16.078704904352357,52.20691847741025,497.05938470880096,730.3779945650931,115.49213539346056,288.23452714197924,5.357518717864037,312.07718919936565,100243.54341231428,5.0,1.0,14.90088745587464,67.5007877944208,0.8588820067477801,0.0,121,63.29840057222577,,
2030-05-01 16:45:00,15.922624660129545,52.811536062062736,448.65108676723946,712.7100576839749,107.960347043325,287.2467951291902,5.436304703557867,313.62247714840385,100243.99487458548,5.0,1.0,14.90088745587464,71.25086937321646,0.8106992506867029,0.0,121,66.22147541843468,,
2030-05-01 17:00:00,15.76,53.35,399.0,689.99,101.0,286.4,5.52,315.0,100244.0,5.0,1.0,14.90088745587464,75.0,0.7485382411872795,0.0,121,69.14306090182583,,
2030-05-01 17:15:00,15.590830923963729,53.822310291222045,348.1061244070826,662.2178215131682,94.61109426348558,285.69414175440863,5.608604607190436,316.20975775415417,100243.55878855786,5.0,1.0,14.90088745587464,78.74817967477145,0.6657572350989777,0.0,121,72.05843116294061,,
2030-05-01 17:30:00,15.415117432020725,54.228466935728875,295.96945998848713,629.39352222348,88.79362983378175,285.1292203924162,5.702118525129177,317.2517504108663,100242.67124025902,5.0,1.0,14.90088745587464,82.4954083975307,0.5506961988244697,0.0,121,74.96306919540378,,
2030-05-01 17:45:00,15.244345224067361,54.632890112371264,243.3480655756481,578.9749618220517,81.57935048718701,284.69968883421564,5.739573180503329,318.1678678621453,100242.44807183067,5.0,1.0,14.90088745587464,86.24493292152471,0.38066078436909534,0.0,121,77.85506111736946,,
2030-05-01 18:00:00,15.09,55.1,191.0,498.42,71.0,284.4,5.66,319.0,100244.0,5.0,1.0,14.90088745587464,90.0,0.10514949002840149,0.0,121,80.73243678041483,,
